"","culmen_length_mm","culmen_depth_mm","species"
"1",39.1,18.7,"Adelie"
"2",39.5,17.4,"Adelie"
"3",40.3,18,"Adelie"
"4",36.7,19.3,"Adelie"
"5",39.3,20.6,"Adelie"
"6",38.9,17.8,"Adelie"
"7",39.2,19.6,"Adelie"
"8",34.1,18.1,"Adelie"
"9",42,20.2,"Adelie"
"10",37.8,17.1,"Adelie"
"11",37.8,17.3,"Adelie"
"12",41.1,17.6,"Adelie"
"13",38.6,21.2,"Adelie"
"14",34.6,21.1,"Adelie"
"15",36.6,17.8,"Adelie"
"16",38.7,19,"Adelie"
"17",42.5,20.7,"Adelie"
"18",34.4,18.4,"Adelie"
"19",46,21.5,"Adelie"
"20",37.8,18.3,"Adelie"
"21",37.7,18.7,"Adelie"
"22",35.9,19.2,"Adelie"
"23",38.2,18.1,"Adelie"
"24",38.8,17.2,"Adelie"
"25",35.3,18.9,"Adelie"
"26",40.6,18.6,"Adelie"
"27",40.5,17.9,"Adelie"
"28",37.9,18.6,"Adelie"
"29",40.5,18.9,"Adelie"
"30",39.5,16.7,"Adelie"
"31",37.2,18.1,"Adelie"
"32",39.5,17.8,"Adelie"
"33",40.9,18.9,"Adelie"
"34",36.4,17,"Adelie"
"35",39.2,21.1,"Adelie"
"36",38.8,20,"Adelie"
"37",42.2,18.5,"Adelie"
"38",37.6,19.3,"Adelie"
"39",39.8,19.1,"Adelie"
"40",36.5,18,"Adelie"
"41",40.8,18.4,"Adelie"
"42",36,18.5,"Adelie"
"43",44.1,19.7,"Adelie"
"44",37,16.9,"Adelie"
"45",39.6,18.8,"Adelie"
"46",41.1,19,"Adelie"
"47",37.5,18.9,"Adelie"
"48",36,17.9,"Adelie"
"49",42.3,21.2,"Adelie"
"50",39.6,17.7,"Adelie"
"51",40.1,18.9,"Adelie"
"52",35,17.9,"Adelie"
"53",42,19.5,"Adelie"
"54",34.5,18.1,"Adelie"
"55",41.4,18.6,"Adelie"
"56",39,17.5,"Adelie"
"57",40.6,18.8,"Adelie"
"58",36.5,16.6,"Adelie"
"59",37.6,19.1,"Adelie"
"60",35.7,16.9,"Adelie"
"61",41.3,21.1,"Adelie"
"62",37.6,17,"Adelie"
"63",41.1,18.2,"Adelie"
"64",36.4,17.1,"Adelie"
"65",41.6,18,"Adelie"
"66",35.5,16.2,"Adelie"
"67",41.1,19.1,"Adelie"
"68",35.9,16.6,"Adelie"
"69",41.8,19.4,"Adelie"
"70",33.5,19,"Adelie"
"71",39.7,18.4,"Adelie"
"72",39.6,17.2,"Adelie"
"73",45.8,18.9,"Adelie"
"74",35.5,17.5,"Adelie"
"75",42.8,18.5,"Adelie"
"76",40.9,16.8,"Adelie"
"77",37.2,19.4,"Adelie"
"78",36.2,16.1,"Adelie"
"79",42.1,19.1,"Adelie"
"80",34.6,17.2,"Adelie"
"81",42.9,17.6,"Adelie"
"82",36.7,18.8,"Adelie"
"83",35.1,19.4,"Adelie"
"84",37.3,17.8,"Adelie"
"85",41.3,20.3,"Adelie"
"86",36.3,19.5,"Adelie"
"87",36.9,18.6,"Adelie"
"88",38.3,19.2,"Adelie"
"89",38.9,18.8,"Adelie"
"90",35.7,18,"Adelie"
"91",41.1,18.1,"Adelie"
"92",34,17.1,"Adelie"
"93",39.6,18.1,"Adelie"
"94",36.2,17.3,"Adelie"
"95",40.8,18.9,"Adelie"
"96",38.1,18.6,"Adelie"
"97",40.3,18.5,"Adelie"
"98",33.1,16.1,"Adelie"
"99",43.2,18.5,"Adelie"
"100",35,17.9,"Adelie"
"101",41,20,"Adelie"
"102",37.7,16,"Adelie"
"103",37.8,20,"Adelie"
"104",37.9,18.6,"Adelie"
"105",39.7,18.9,"Adelie"
"106",38.6,17.2,"Adelie"
"107",38.2,20,"Adelie"
"108",38.1,17,"Adelie"
"109",43.2,19,"Adelie"
"110",38.1,16.5,"Adelie"
"111",45.6,20.3,"Adelie"
"112",39.7,17.7,"Adelie"
"113",42.2,19.5,"Adelie"
"114",39.6,20.7,"Adelie"
"115",42.7,18.3,"Adelie"
"116",38.6,17,"Adelie"
"117",37.3,20.5,"Adelie"
"118",35.7,17,"Adelie"
"119",41.1,18.6,"Adelie"
"120",36.2,17.2,"Adelie"
"121",37.7,19.8,"Adelie"
"122",40.2,17,"Adelie"
"123",41.4,18.5,"Adelie"
"124",35.2,15.9,"Adelie"
"125",40.6,19,"Adelie"
"126",38.8,17.6,"Adelie"
"127",41.5,18.3,"Adelie"
"128",39,17.1,"Adelie"
"129",44.1,18,"Adelie"
"130",38.5,17.9,"Adelie"
"131",43.1,19.2,"Adelie"
"132",36.8,18.5,"Adelie"
"133",37.5,18.5,"Adelie"
"134",38.1,17.6,"Adelie"
"135",41.1,17.5,"Adelie"
"136",35.6,17.5,"Adelie"
"137",40.2,20.1,"Adelie"
"138",37,16.5,"Adelie"
"139",39.7,17.9,"Adelie"
"140",40.2,17.1,"Adelie"
"141",40.6,17.2,"Adelie"
"142",32.1,15.5,"Adelie"
"143",40.7,17,"Adelie"
"144",37.3,16.8,"Adelie"
"145",39,18.7,"Adelie"
"146",39.2,18.6,"Adelie"
"147",36.6,18.4,"Adelie"
"148",36,17.8,"Adelie"
"149",37.8,18.1,"Adelie"
"150",36,17.1,"Adelie"
"151",41.5,18.5,"Adelie"
