"","culmen_length_mm","culmen_depth_mm","species"
"1",46.5,17.9,"Chinstrap"
"2",50,19.5,"Chinstrap"
"3",51.3,19.2,"Chinstrap"
"4",45.4,18.7,"Chinstrap"
"5",52.7,19.8,"Chinstrap"
"6",45.2,17.8,"Chinstrap"
"7",46.1,18.2,"Chinstrap"
"8",51.3,18.2,"Chinstrap"
"9",46,18.9,"Chinstrap"
"10",51.3,19.9,"Chinstrap"
"11",46.6,17.8,"Chinstrap"
"12",51.7,20.3,"Chinstrap"
"13",47,17.3,"Chinstrap"
"14",52,18.1,"Chinstrap"
"15",45.9,17.1,"Chinstrap"
"16",50.5,19.6,"Chinstrap"
"17",50.3,20,"Chinstrap"
"18",58,17.8,"Chinstrap"
"19",46.4,18.6,"Chinstrap"
"20",49.2,18.2,"Chinstrap"
"21",42.4,17.3,"Chinstrap"
"22",48.5,17.5,"Chinstrap"
"23",43.2,16.6,"Chinstrap"
"24",50.6,19.4,"Chinstrap"
"25",46.7,17.9,"Chinstrap"
"26",52,19,"Chinstrap"
"27",50.5,18.4,"Chinstrap"
"28",49.5,19,"Chinstrap"
"29",46.4,17.8,"Chinstrap"
"30",52.8,20,"Chinstrap"
"31",40.9,16.6,"Chinstrap"
"32",54.2,20.8,"Chinstrap"
"33",42.5,16.7,"Chinstrap"
"34",51,18.8,"Chinstrap"
"35",49.7,18.6,"Chinstrap"
"36",47.5,16.8,"Chinstrap"
"37",47.6,18.3,"Chinstrap"
"38",52,20.7,"Chinstrap"
"39",46.9,16.6,"Chinstrap"
"40",53.5,19.9,"Chinstrap"
"41",49,19.5,"Chinstrap"
"42",46.2,17.5,"Chinstrap"
"43",50.9,19.1,"Chinstrap"
"44",45.5,17,"Chinstrap"
"45",50.9,17.9,"Chinstrap"
"46",50.8,18.5,"Chinstrap"
"47",50.1,17.9,"Chinstrap"
"48",49,19.6,"Chinstrap"
"49",51.5,18.7,"Chinstrap"
"50",49.8,17.3,"Chinstrap"
"51",48.1,16.4,"Chinstrap"
"52",51.4,19,"Chinstrap"
"53",45.7,17.3,"Chinstrap"
"54",50.7,19.7,"Chinstrap"
"55",42.5,17.3,"Chinstrap"
"56",52.2,18.8,"Chinstrap"
"57",45.2,16.6,"Chinstrap"
"58",49.3,19.9,"Chinstrap"
"59",50.2,18.8,"Chinstrap"
"60",45.6,19.4,"Chinstrap"
"61",51.9,19.5,"Chinstrap"
"62",46.8,16.5,"Chinstrap"
"63",45.7,17,"Chinstrap"
"64",55.8,19.8,"Chinstrap"
"65",43.5,18.1,"Chinstrap"
"66",49.6,18.2,"Chinstrap"
"67",50.8,19,"Chinstrap"
"68",50.2,18.7,"Chinstrap"
