"","culmen_length_mm","culmen_depth_mm"
"1",39.1,18.7
"2",39.5,17.4
"3",40.3,18
"4",36.7,19.3
"5",39.3,20.6
"6",38.9,17.8
"7",39.2,19.6
"8",34.1,18.1
"9",42,20.2
"10",37.8,17.1
"11",37.8,17.3
"12",41.1,17.6
"13",38.6,21.2
"14",34.6,21.1
"15",36.6,17.8
"16",38.7,19
"17",42.5,20.7
"18",34.4,18.4
"19",46,21.5
"20",37.8,18.3
"21",37.7,18.7
"22",35.9,19.2
"23",38.2,18.1
"24",38.8,17.2
"25",35.3,18.9
"26",40.6,18.6
"27",40.5,17.9
"28",37.9,18.6
"29",40.5,18.9
"30",39.5,16.7
"31",37.2,18.1
"32",39.5,17.8
"33",40.9,18.9
"34",36.4,17
"35",39.2,21.1
"36",38.8,20
"37",42.2,18.5
"38",37.6,19.3
"39",39.8,19.1
"40",36.5,18
"41",40.8,18.4
"42",36,18.5
"43",44.1,19.7
"44",37,16.9
"45",39.6,18.8
"46",41.1,19
"47",37.5,18.9
"48",36,17.9
"49",42.3,21.2
"50",39.6,17.7
"51",40.1,18.9
"52",35,17.9
"53",42,19.5
"54",34.5,18.1
"55",41.4,18.6
"56",39,17.5
"57",40.6,18.8
"58",36.5,16.6
"59",37.6,19.1
"60",35.7,16.9
"61",41.3,21.1
"62",37.6,17
"63",41.1,18.2
"64",36.4,17.1
"65",41.6,18
"66",35.5,16.2
"67",41.1,19.1
"68",35.9,16.6
"69",41.8,19.4
"70",33.5,19
"71",39.7,18.4
"72",39.6,17.2
"73",45.8,18.9
"74",35.5,17.5
"75",42.8,18.5
"76",40.9,16.8
"77",37.2,19.4
"78",36.2,16.1
"79",42.1,19.1
"80",34.6,17.2
"81",42.9,17.6
"82",36.7,18.8
"83",35.1,19.4
"84",37.3,17.8
"85",41.3,20.3
"86",36.3,19.5
"87",36.9,18.6
"88",38.3,19.2
"89",38.9,18.8
"90",35.7,18
"91",41.1,18.1
"92",34,17.1
"93",39.6,18.1
"94",36.2,17.3
"95",40.8,18.9
"96",38.1,18.6
"97",40.3,18.5
"98",33.1,16.1
"99",43.2,18.5
"100",35,17.9
"101",41,20
"102",37.7,16
"103",37.8,20
"104",37.9,18.6
"105",39.7,18.9
"106",38.6,17.2
"107",38.2,20
"108",38.1,17
"109",43.2,19
"110",38.1,16.5
"111",45.6,20.3
"112",39.7,17.7
"113",42.2,19.5
"114",39.6,20.7
"115",42.7,18.3
"116",38.6,17
"117",37.3,20.5
"118",35.7,17
"119",41.1,18.6
"120",36.2,17.2
"121",37.7,19.8
"122",40.2,17
"123",41.4,18.5
"124",35.2,15.9
"125",40.6,19
"126",38.8,17.6
"127",41.5,18.3
"128",39,17.1
"129",44.1,18
"130",38.5,17.9
"131",43.1,19.2
"132",36.8,18.5
"133",37.5,18.5
"134",38.1,17.6
"135",41.1,17.5
"136",35.6,17.5
"137",40.2,20.1
"138",37,16.5
"139",39.7,17.9
"140",40.2,17.1
"141",40.6,17.2
"142",32.1,15.5
"143",40.7,17
"144",37.3,16.8
"145",39,18.7
"146",39.2,18.6
"147",36.6,18.4
"148",36,17.8
"149",37.8,18.1
"150",36,17.1
"151",41.5,18.5
"152",46.1,13.2
"153",50,16.3
"154",48.7,14.1
"155",50,15.2
"156",47.6,14.5
"157",46.5,13.5
"158",45.4,14.6
"159",46.7,15.3
"160",43.3,13.4
"161",46.8,15.4
"162",40.9,13.7
"163",49,16.1
"164",45.5,13.7
"165",48.4,14.6
"166",45.8,14.6
"167",49.3,15.7
"168",42,13.5
"169",49.2,15.2
"170",46.2,14.5
"171",48.7,15.1
"172",50.2,14.3
"173",45.1,14.5
"174",46.5,14.5
"175",46.3,15.8
"176",42.9,13.1
"177",46.1,15.1
"178",44.5,14.3
"179",47.8,15
"180",48.2,14.3
"181",50,15.3
"182",47.3,15.3
"183",42.8,14.2
"184",45.1,14.5
"185",59.6,17
"186",49.1,14.8
"187",48.4,16.3
"188",42.6,13.7
"189",44.4,17.3
"190",44,13.6
"191",48.7,15.7
"192",42.7,13.7
"193",49.6,16
"194",45.3,13.7
"195",49.6,15
"196",50.5,15.9
"197",43.6,13.9
"198",45.5,13.9
"199",50.5,15.9
"200",44.9,13.3
"201",45.2,15.8
"202",46.6,14.2
"203",48.5,14.1
"204",45.1,14.4
"205",50.1,15
"206",46.5,14.4
"207",45,15.4
"208",43.8,13.9
"209",45.5,15
"210",43.2,14.5
"211",50.4,15.3
"212",45.3,13.8
"213",46.2,14.9
"214",45.7,13.9
"215",54.3,15.7
"216",45.8,14.2
"217",49.8,16.8
"218",46.2,14.4
"219",49.5,16.2
"220",43.5,14.2
"221",50.7,15
"222",47.7,15
"223",46.4,15.6
"224",48.2,15.6
"225",46.5,14.8
"226",46.4,15
"227",48.6,16
"228",47.5,14.2
"229",51.1,16.3
"230",45.2,13.8
"231",45.2,16.4
"232",49.1,14.5
"233",52.5,15.6
"234",47.4,14.6
"235",50,15.9
"236",44.9,13.8
"237",50.8,17.3
"238",43.4,14.4
"239",51.3,14.2
"240",47.5,14
"241",52.1,17
"242",47.5,15
"243",52.2,17.1
"244",45.5,14.5
"245",49.5,16.1
"246",44.5,14.7
"247",50.8,15.7
"248",49.4,15.8
"249",46.9,14.6
"250",48.4,14.4
"251",51.1,16.5
"252",48.5,15
"253",55.9,17
"254",47.2,15.5
"255",49.1,15
"256",47.3,13.8
"257",46.8,16.1
"258",41.7,14.7
"259",53.4,15.8
"260",43.3,14
"261",48.1,15.1
