"","culmen_length_mm","culmen_depth_mm","species"
"1",46.1,13.2,"Gentoo"
"2",50,16.3,"Gentoo"
"3",48.7,14.1,"Gentoo"
"4",50,15.2,"Gentoo"
"5",47.6,14.5,"Gentoo"
"6",46.5,13.5,"Gentoo"
"7",45.4,14.6,"Gentoo"
"8",46.7,15.3,"Gentoo"
"9",43.3,13.4,"Gentoo"
"10",46.8,15.4,"Gentoo"
"11",40.9,13.7,"Gentoo"
"12",49,16.1,"Gentoo"
"13",45.5,13.7,"Gentoo"
"14",48.4,14.6,"Gentoo"
"15",45.8,14.6,"Gentoo"
"16",49.3,15.7,"Gentoo"
"17",42,13.5,"Gentoo"
"18",49.2,15.2,"Gentoo"
"19",46.2,14.5,"Gentoo"
"20",48.7,15.1,"Gentoo"
"21",50.2,14.3,"Gentoo"
"22",45.1,14.5,"Gentoo"
"23",46.5,14.5,"Gentoo"
"24",46.3,15.8,"Gentoo"
"25",42.9,13.1,"Gentoo"
"26",46.1,15.1,"Gentoo"
"27",44.5,14.3,"Gentoo"
"28",47.8,15,"Gentoo"
"29",48.2,14.3,"Gentoo"
"30",50,15.3,"Gentoo"
"31",47.3,15.3,"Gentoo"
"32",42.8,14.2,"Gentoo"
"33",45.1,14.5,"Gentoo"
"34",59.6,17,"Gentoo"
"35",49.1,14.8,"Gentoo"
"36",48.4,16.3,"Gentoo"
"37",42.6,13.7,"Gentoo"
"38",44.4,17.3,"Gentoo"
"39",44,13.6,"Gentoo"
"40",48.7,15.7,"Gentoo"
"41",42.7,13.7,"Gentoo"
"42",49.6,16,"Gentoo"
"43",45.3,13.7,"Gentoo"
"44",49.6,15,"Gentoo"
"45",50.5,15.9,"Gentoo"
"46",43.6,13.9,"Gentoo"
"47",45.5,13.9,"Gentoo"
"48",50.5,15.9,"Gentoo"
"49",44.9,13.3,"Gentoo"
"50",45.2,15.8,"Gentoo"
"51",46.6,14.2,"Gentoo"
"52",48.5,14.1,"Gentoo"
"53",45.1,14.4,"Gentoo"
"54",50.1,15,"Gentoo"
"55",46.5,14.4,"Gentoo"
"56",45,15.4,"Gentoo"
"57",43.8,13.9,"Gentoo"
"58",45.5,15,"Gentoo"
"59",43.2,14.5,"Gentoo"
"60",50.4,15.3,"Gentoo"
"61",45.3,13.8,"Gentoo"
"62",46.2,14.9,"Gentoo"
"63",45.7,13.9,"Gentoo"
"64",54.3,15.7,"Gentoo"
"65",45.8,14.2,"Gentoo"
"66",49.8,16.8,"Gentoo"
"67",46.2,14.4,"Gentoo"
"68",49.5,16.2,"Gentoo"
"69",43.5,14.2,"Gentoo"
"70",50.7,15,"Gentoo"
"71",47.7,15,"Gentoo"
"72",46.4,15.6,"Gentoo"
"73",48.2,15.6,"Gentoo"
"74",46.5,14.8,"Gentoo"
"75",46.4,15,"Gentoo"
"76",48.6,16,"Gentoo"
"77",47.5,14.2,"Gentoo"
"78",51.1,16.3,"Gentoo"
"79",45.2,13.8,"Gentoo"
"80",45.2,16.4,"Gentoo"
"81",49.1,14.5,"Gentoo"
"82",52.5,15.6,"Gentoo"
"83",47.4,14.6,"Gentoo"
"84",50,15.9,"Gentoo"
"85",44.9,13.8,"Gentoo"
"86",50.8,17.3,"Gentoo"
"87",43.4,14.4,"Gentoo"
"88",51.3,14.2,"Gentoo"
"89",47.5,14,"Gentoo"
"90",52.1,17,"Gentoo"
"91",47.5,15,"Gentoo"
"92",52.2,17.1,"Gentoo"
"93",45.5,14.5,"Gentoo"
"94",49.5,16.1,"Gentoo"
"95",44.5,14.7,"Gentoo"
"96",50.8,15.7,"Gentoo"
"97",49.4,15.8,"Gentoo"
"98",46.9,14.6,"Gentoo"
"99",48.4,14.4,"Gentoo"
"100",51.1,16.5,"Gentoo"
"101",48.5,15,"Gentoo"
"102",55.9,17,"Gentoo"
"103",47.2,15.5,"Gentoo"
"104",49.1,15,"Gentoo"
"105",47.3,13.8,"Gentoo"
"106",46.8,16.1,"Gentoo"
"107",41.7,14.7,"Gentoo"
"108",53.4,15.8,"Gentoo"
"109",43.3,14,"Gentoo"
"110",48.1,15.1,"Gentoo"
"111",50.5,15.2,"Gentoo"
"112",49.8,15.9,"Gentoo"
"113",43.5,15.2,"Gentoo"
"114",51.5,16.3,"Gentoo"
"115",46.2,14.1,"Gentoo"
"116",55.1,16,"Gentoo"
"117",44.5,15.7,"Gentoo"
"118",48.8,16.2,"Gentoo"
"119",47.2,13.7,"Gentoo"
"120",46.8,14.3,"Gentoo"
"121",50.4,15.7,"Gentoo"
"122",45.2,14.8,"Gentoo"
"123",49.9,16.1,"Gentoo"
